rental_id,product_id,condition_on_return,damage_fee,return_note
1,2,fair,0.0,
2,2,good,0.0,
3,2,good,0.0,
4,2,excellent,0.0,
5,3,excellent,0.0,
6,3,good,0.0,
7,3,good,0.0,
9,3,excellent,0.0,
10,4,fair,0.0,
11,6,fair,0.0,
12,7,excellent,32.43,
13,7,excellent,0.0,
14,7,fair,41.6,
15,9,damaged,38.32,
16,9,fair,0.0,
17,9,excellent,0.0,
18,9,good,0.0,
19,9,damaged,0.0,
20,9,good,2.45,
22,11,good,0.0,
23,11,damaged,0.0,
24,11,fair,0.0,
25,11,good,0.0,
26,11,fair,0.0,
28,13,fair,0.0,
29,13,good,0.0,
30,13,good,0.0,
31,14,good,0.0,
32,14,good,0.0,
33,14,good,0.0,
34,16,good,0.0,
35,16,damaged,0.0,
36,16,damaged,0.0,
37,17,good,0.0,
38,17,fair,0.0,
39,17,good,0.0,
40,17,fair,0.0,
41,19,fair,0.0,
42,19,fair,44.48,
43,19,good,0.0,
44,24,fair,23.85,
45,24,fair,0.0,
46,24,excellent,0.0,
47,25,good,0.0,
48,26,good,0.0,
49,26,damaged,0.0,
50,26,good,0.0,
51,26,good,0.0,
52,26,fair,0.0,
53,28,excellent,0.0,
54,28,good,0.0,
55,28,excellent,0.0,
56,28,damaged,0.0,
57,30,good,0.0,
58,30,fair,0.0,
59,30,good,14.43,
60,30,good,0.0,
61,32,excellent,0.0,
62,32,good,0.0,
63,32,excellent,0.0,
64,32,damaged,0.0,
65,34,fair,0.0,
66,34,good,0.0,
67,34,damaged,0.0,
68,35,excellent,0.0,
69,35,good,0.0,
70,35,good,0.0,
71,35,fair,28.45,
72,35,excellent,0.0,
73,36,good,0.0,
74,36,good,0.0,
75,36,good,0.0,
76,36,excellent,0.0,
77,37,good,0.0,
78,37,excellent,46.19,
79,37,fair,0.0,
80,37,good,0.0,
81,39,excellent,42.28,
82,39,good,22.74,
83,39,damaged,0.0,
84,39,excellent,0.0,
85,39,good,0.0,
86,42,good,10.92,
87,42,excellent,0.0,
88,42,good,20.81,
89,43,good,0.0,
90,44,good,0.0,
91,44,fair,0.0,
92,44,good,0.0,
93,45,excellent,0.0,
94,45,good,0.0,
95,46,good,0.0,
96,46,fair,0.0,
97,46,excellent,0.0,
98,46,excellent,0.0,
99,47,fair,0.0,
100,47,damaged,0.0,
101,48,excellent,0.0,
102,48,damaged,20.42,
103,48,excellent,0.0,
104,48,fair,6.49,
105,48,excellent,0.0,
106,48,fair,0.0,
107,49,damaged,44.31,
108,49,excellent,0.0,
109,49,good,0.0,
111,49,excellent,0.0,
112,51,good,0.0,
113,52,excellent,0.0,
114,52,fair,0.0,
115,52,excellent,0.0,
116,52,good,0.0,
117,52,fair,0.0,
118,53,fair,10.57,
119,53,good,0.0,
120,53,fair,0.0,
122,58,excellent,0.0,
123,58,excellent,0.0,
124,61,excellent,0.0,
125,61,excellent,30.6,
126,61,damaged,0.0,
127,62,fair,0.0,
128,62,good,0.0,
129,62,fair,0.0,
130,62,good,27.04,
131,62,good,0.0,
132,63,good,0.0,
133,63,fair,0.0,
134,63,damaged,0.0,
135,64,good,0.0,
136,64,good,0.0,
137,64,fair,30.27,
138,66,good,0.0,
139,66,excellent,0.0,
140,66,damaged,0.0,
141,66,damaged,0.0,
142,66,fair,0.0,
143,67,fair,0.0,
144,67,good,0.0,
145,67,fair,0.0,
146,67,excellent,0.0,
147,67,good,0.0,
148,67,fair,0.0,
149,68,fair,0.0,
150,69,good,0.0,
151,69,excellent,0.0,
152,69,good,0.0,
153,69,good,0.0,
154,69,damaged,0.0,
155,71,good,0.0,
156,71,good,0.0,
157,71,good,26.29,
158,72,good,0.0,
159,72,excellent,0.0,
160,72,good,0.0,
162,74,damaged,0.0,
163,74,excellent,0.0,
164,75,excellent,0.0,
165,75,good,0.0,
166,75,good,0.0,
168,76,excellent,0.0,
169,76,excellent,0.0,
170,76,excellent,24.14,
171,77,fair,0.0,
172,77,good,46.76,
173,77,excellent,20.52,
174,79,excellent,0.0,
175,79,fair,0.0,
176,79,excellent,0.0,
177,79,damaged,0.0,
178,79,damaged,28.16,
180,79,good,0.0,
181,80,good,0.0,
182,82,excellent,0.0,
183,82,fair,0.0,
184,82,good,0.0,
185,82,excellent,34.73,
186,83,excellent,21.96,
187,83,good,5.76,
188,83,good,0.0,
189,83,good,0.0,
190,83,excellent,0.0,
191,84,fair,0.0,
192,84,good,0.0,
193,84,good,31.43,
194,85,good,0.0,
195,85,excellent,0.0,
196,85,good,0.0,
197,85,good,19.62,
198,85,good,0.0,
199,86,good,0.0,
200,86,excellent,0.0,
201,86,damaged,0.0,
202,91,good,0.0,
203,91,damaged,0.0,
204,92,damaged,0.0,
205,92,fair,22.91,
206,92,good,0.0,
207,92,excellent,0.0,
209,93,excellent,0.0,
210,93,fair,0.0,
211,93,good,0.0,
212,94,good,0.0,
213,94,good,0.0,
215,94,excellent,42.84,
216,95,excellent,0.0,
217,95,good,0.0,
218,95,good,34.13,
219,95,fair,0.0,
220,95,good,0.0,
221,95,excellent,0.0,
222,95,good,0.0,
223,96,excellent,17.23,
224,96,good,0.0,
225,97,excellent,0.0,
226,97,damaged,0.0,
228,98,good,0.0,
229,98,excellent,0.0,
230,98,excellent,0.0,
231,99,good,0.0,
232,99,good,0.0,
233,99,good,0.0,
234,99,damaged,0.0,
235,99,excellent,0.0,
236,101,good,0.0,
237,101,good,0.0,
238,101,good,0.0,
239,101,excellent,0.0,
240,102,good,0.0,
241,102,good,0.0,
242,103,good,0.0,
243,103,good,18.96,
244,103,excellent,0.0,
245,104,excellent,0.0,
246,104,good,20.7,
247,104,good,0.0,
248,104,good,0.0,
249,105,good,0.0,
250,105,excellent,0.0,
251,105,good,6.12,
252,105,good,46.04,
253,105,good,0.0,
254,105,excellent,0.0,
255,105,excellent,0.0,
256,105,damaged,0.0,
257,106,excellent,0.0,
258,106,excellent,48.82,
260,107,good,22.5,
261,107,good,40.77,
262,107,excellent,0.0,
263,110,excellent,0.0,
264,110,good,0.0,
265,110,excellent,5.53,
266,110,good,0.0,
267,110,damaged,0.0,
268,110,good,0.0,
270,110,good,0.0,
272,112,good,0.0,
273,112,fair,0.0,
274,113,excellent,0.0,
275,113,good,20.93,
276,113,excellent,42.1,
277,113,good,41.93,
278,114,excellent,0.0,
279,114,good,0.0,
280,115,damaged,0.0,
281,115,good,0.0,
283,115,good,0.0,
284,115,good,0.0,
285,117,good,0.0,
286,117,good,0.0,
287,117,damaged,0.0,
288,117,good,0.0,
289,117,excellent,0.0,
291,118,excellent,0.0,
292,118,good,46.21,
293,118,good,0.0,
294,119,fair,0.0,
295,119,good,39.86,
296,119,fair,0.0,
297,120,excellent,0.0,
298,120,good,0.0,
299,120,fair,0.0,
300,123,excellent,0.0,
301,123,fair,0.0,
303,124,good,0.0,
304,124,good,0.0,
305,124,excellent,0.0,
306,124,good,7.35,
307,125,excellent,0.0,
308,125,fair,0.0,
309,125,damaged,0.0,
310,126,excellent,0.0,
311,126,damaged,0.0,
312,126,good,0.0,
313,126,excellent,31.73,
314,127,good,0.0,
315,127,excellent,33.9,
316,127,good,0.0,
317,127,excellent,0.0,
318,129,good,35.02,
319,129,fair,20.19,
320,129,fair,0.0,
321,132,fair,0.0,
322,132,good,39.1,
323,132,excellent,0.0,
324,133,damaged,0.0,
325,133,good,0.0,
327,133,good,0.0,
328,133,damaged,0.0,
329,136,good,0.0,
330,136,fair,0.0,
331,136,good,0.0,
332,136,damaged,0.0,
333,137,good,0.0,
334,137,fair,25.98,
335,137,excellent,0.0,
336,137,good,0.0,
337,137,fair,0.0,
338,137,good,4.26,
339,138,excellent,34.85,
340,138,good,0.0,
341,138,fair,14.41,
342,138,good,0.0,
343,138,good,0.0,
345,141,damaged,0.0,
346,143,good,0.0,
347,143,good,0.0,
348,143,good,0.0,
349,143,good,0.0,
350,144,fair,0.0,
351,144,good,0.0,
352,144,good,0.0,
353,144,excellent,0.0,
354,144,excellent,0.0,
355,144,good,0.0,
356,145,fair,0.0,
357,145,damaged,30.24,
358,146,excellent,5.46,
359,146,fair,0.0,
360,147,excellent,0.0,
361,147,excellent,45.99,
362,147,damaged,26.7,
363,147,excellent,0.0,
364,148,good,0.0,
365,148,damaged,0.0,
367,150,good,0.0,
368,150,excellent,0.0,
369,150,excellent,0.0,
370,152,good,0.0,
371,152,good,0.0,
372,152,good,0.0,
373,152,good,22.35,
374,152,good,0.0,
375,152,good,15.21,
376,152,good,0.0,
377,153,good,0.0,
378,153,good,0.0,
379,153,good,0.0,
380,153,good,14.15,
381,153,good,0.0,
382,201,excellent,0.0,
383,201,good,0.0,
384,201,good,0.0,
386,203,excellent,0.0,
387,203,good,0.0,
388,203,fair,0.0,
389,203,good,0.0,
390,203,good,3.18,
391,206,excellent,0.0,
392,206,excellent,19.31,
393,206,good,0.0,
394,207,good,0.0,
395,207,good,0.0,
396,207,excellent,0.0,
397,207,good,0.0,
398,207,excellent,0.0,
399,208,excellent,0.0,
400,210,excellent,0.0,
401,210,good,0.0,
402,210,good,0.0,
403,210,good,0.0,
404,210,damaged,0.0,
405,210,fair,0.0,
406,210,fair,0.0,
407,211,excellent,0.0,
408,211,fair,0.0,
409,212,fair,7.8,
410,212,good,0.0,
411,212,good,0.0,
412,213,good,5.29,
413,213,excellent,0.0,
414,213,excellent,0.0,
415,213,excellent,0.0,
417,214,good,0.0,
418,214,good,18.51,
419,214,excellent,0.0,
420,216,good,0.0,
421,216,good,0.0,
422,216,good,0.0,
423,216,excellent,0.0,
424,216,excellent,29.41,
425,216,good,0.0,
426,218,excellent,0.0,
427,219,fair,0.0,
428,219,excellent,0.0,
429,220,fair,0.0,
430,220,excellent,0.0,
431,220,good,0.0,
432,220,excellent,9.83,
433,220,good,0.0,
434,220,excellent,0.0,
435,222,fair,0.0,
436,222,good,0.0,
437,224,good,29.73,
438,224,good,0.0,
439,224,fair,32.91,
440,224,good,27.15,
441,224,damaged,48.18,
442,225,good,0.0,
443,225,excellent,0.0,
444,225,excellent,0.0,
445,225,excellent,0.0,
446,225,good,0.0,
447,225,excellent,21.53,
448,226,good,27.89,
449,226,good,0.0,
450,226,fair,44.29,
451,226,good,0.0,
452,226,excellent,0.0,
453,226,fair,0.0,
454,227,excellent,0.0,
455,227,good,0.0,
456,227,excellent,0.0,
457,228,fair,0.0,
458,228,good,0.0,
459,228,excellent,47.15,
460,228,good,0.0,
461,229,good,0.0,
462,229,excellent,38.82,
463,229,excellent,0.0,
464,229,excellent,0.0,
465,229,damaged,36.54,
466,232,good,0.0,
467,234,damaged,10.34,
468,234,good,0.0,
469,234,excellent,0.0,
470,234,good,0.0,
471,234,excellent,0.0,
472,234,good,41.38,
473,235,good,0.0,
474,235,excellent,0.0,
475,235,good,0.0,
476,235,excellent,5.99,
477,235,good,27.05,
478,235,excellent,23.75,
479,237,good,0.0,
480,237,fair,0.0,
482,237,good,0.0,
483,239,excellent,0.0,
484,239,excellent,0.0,
485,239,good,0.0,
486,240,good,0.0,
487,240,good,48.0,
488,241,fair,0.0,
489,241,good,0.0,
490,241,good,17.46,
491,242,good,0.0,
492,243,excellent,0.0,
493,243,excellent,0.0,
494,243,good,0.0,
495,243,good,0.0,
496,243,fair,0.0,
497,244,damaged,0.0,
498,244,fair,0.0,
499,244,good,13.86,
500,244,damaged,0.0,
501,244,good,0.0,
502,244,excellent,0.0,
503,247,good,0.0,
504,247,good,0.0,
505,247,good,10.46,
506,247,good,0.0,
507,248,excellent,0.0,
508,248,good,0.0,
509,250,good,0.0,
510,250,good,0.0,
511,250,fair,0.0,
513,250,good,0.0,
514,250,fair,0.0,
515,250,good,7.74,
516,251,good,0.0,
517,251,fair,19.94,
518,253,good,0.0,
519,253,good,0.0,
520,253,good,0.0,
521,255,fair,28.56,
522,255,good,0.0,
523,255,good,0.0,
524,255,good,0.0,
525,257,good,0.0,
526,257,good,0.0,
527,257,good,0.0,
528,257,excellent,0.0,
529,257,good,0.0,
530,257,excellent,0.0,
531,257,good,0.0,
532,260,good,0.0,
533,260,excellent,9.46,
534,260,fair,0.0,
535,260,excellent,0.0,
536,260,excellent,0.0,
537,261,good,0.0,
538,261,good,0.0,
539,262,good,0.0,
540,262,excellent,0.0,
541,262,good,24.13,
542,262,good,0.0,
543,262,damaged,0.0,
545,263,good,14.11,
546,263,excellent,0.0,
547,264,good,0.0,
548,265,excellent,0.0,
549,265,excellent,0.0,
550,265,good,0.0,
551,265,good,0.0,
552,265,good,0.0,
553,266,excellent,0.0,
555,266,good,0.0,
556,266,good,34.79,
557,267,excellent,0.0,
558,267,good,0.0,
559,268,good,0.0,
560,268,good,0.0,
561,268,fair,0.0,
562,269,good,12.23,
563,269,excellent,0.0,
564,269,excellent,0.0,
565,269,good,0.0,
566,271,good,0.0,
567,271,good,0.0,
568,271,fair,0.0,
569,272,good,0.0,
570,272,good,0.0,
571,272,good,0.0,
572,272,excellent,0.0,
574,273,damaged,7.85,
575,273,good,0.0,
576,274,good,0.0,
577,275,fair,0.0,
578,276,good,0.0,
579,276,fair,0.0,
580,276,excellent,0.0,
581,276,excellent,0.0,
582,276,fair,33.12,
583,277,good,0.0,
584,277,damaged,0.0,
585,277,excellent,0.0,
586,277,good,0.0,
587,278,fair,37.77,
588,278,good,32.26,
589,278,excellent,0.0,
590,278,excellent,0.0,
591,280,good,0.0,
592,280,excellent,0.0,
593,280,good,0.0,
594,280,fair,0.0,
595,281,good,0.0,
596,281,good,31.58,
597,281,excellent,0.0,
598,282,excellent,0.0,
599,282,damaged,0.0,
600,282,fair,0.0,
601,282,excellent,0.0,
602,282,good,0.0,
603,282,excellent,0.0,
604,283,good,0.0,
605,284,fair,0.0,
606,284,excellent,0.0,
607,284,good,0.0,
608,285,fair,24.48,
609,285,excellent,0.0,
610,286,excellent,0.0,
611,286,damaged,0.0,
612,287,good,0.0,
613,287,excellent,0.0,
614,287,excellent,0.0,
615,287,fair,0.0,
616,288,good,0.0,
617,289,excellent,0.0,
618,289,good,0.0,
619,292,excellent,0.0,
620,292,damaged,0.0,
622,292,good,0.0,
623,294,good,0.0,
624,295,excellent,0.0,
625,296,fair,45.03,
626,297,damaged,0.0,
627,297,damaged,0.0,
628,299,fair,0.0,
629,299,fair,41.48,
630,299,good,0.0,
631,300,fair,0.0,
632,301,good,0.0,
633,301,good,0.0,
634,301,excellent,0.0,
635,302,good,0.0,
636,302,excellent,0.0,
637,302,fair,0.0,
638,302,damaged,0.0,
639,303,good,1.39,
640,303,fair,0.0,
641,303,excellent,0.0,
642,303,good,0.0,
643,303,excellent,0.0,
644,303,good,38.77,
645,305,damaged,0.0,
646,305,good,0.0,
647,305,damaged,0.0,
648,306,excellent,39.39,
649,306,good,0.0,
650,307,good,0.0,
651,307,good,0.0,
652,307,excellent,0.0,
653,307,good,0.0,
654,307,good,0.0,
655,309,fair,0.0,
656,309,excellent,0.0,
657,309,good,0.0,
658,311,excellent,13.07,
660,311,good,0.0,
661,311,good,0.0,
662,311,good,0.0,
663,311,damaged,0.0,
664,312,good,0.0,
665,312,excellent,18.94,
666,312,fair,0.0,
667,312,excellent,29.56,
668,312,excellent,0.0,
669,313,fair,0.0,
670,314,fair,0.0,
671,314,fair,0.0,
672,314,excellent,0.0,
673,314,excellent,0.0,
674,314,good,0.0,
675,314,fair,0.0,
676,314,excellent,0.0,
677,315,fair,0.0,
679,315,excellent,0.0,
